song_title,lyrics
The Last Thing You Should Do,"What have you been doing to yourself
What have you been doing to yourself
What have you been doing to yourself
It's the last thing you should do-oh-oh-oh-oh

Nobody laughs any more
Nobody laughs any more
Nobody laughs any more

It's the worst thing you can do-oh-oh-oh-oh

Save the last dance for me
Catch the last bus with me
Give the last kiss to me
It's the safest thing to do-oh-oh-oh-oh

Yeah!
Yeah!

What have you been doing to yourself
What have you been doing to yourself
What have you been doing to yourself
It's the last thing you should do-oh-oh-oh-oh

Nobody laughs any more
Nobody laughs any more
Nobody laughs any more
It's the worst thing you can do-oh-oh-oh-oh

Save the last dance with me
Catch the last bus with me
Give the last kiss to me
It's the safest thing to do-oh-oh-oh-oh

Yeah!
Yeah!
Yeah!
Yeah!
Yeah!

Yeah!"
Seven,"I forgot what my father said
I forgot what he said
I forgot what my mother said
As we lay upon your bed

A city full of flowers
A city full of rain

I got seven days to live my life
Or seven ways to die

I forgot what my brother said
I forgot what he said
I don't regret anything at all
I remember how we wept

On a bridge of violent people
I was small enough to cry
I got seven days to live my life
Or seven ways to die

Hold my face before you
Still my trembling heart
Seven days to live my life
Or seven ways to die

The gods forgot they made me
So I forget them too
I listen to the shadows
I play among their graves

My heart was never broken
My patience never tried
I got seven days to live my life
Or seven ways to die

Seven days to live my life
Or seven ways to die

Seven"
We All Go Through,"- Album: Hours (Japanese edition only)
- CD single: Thursday's Child
- Lyrics David Bowie music by Bowie & Gabrels 

Skeletal city highs
Crazies with dumb replies
Nobody's eyes anymore

Frown on your beggar's face
Walking this lunarscape
Nothing in my lackaday

We'll all be right
We'll all be right
We'll all be right in the now
We all go through
We all go through
We all go through it sometimes

Somebody's space to rent
Somebody's soul to dent
Dog is in every word

Hiding the flames of power
Hiding us home by home
Nearly got out yesterday

We'll all be right
We'll all be right
We'll all be right in the now
We all go through
We all go through
We all go through it sometimes

Trouble it travels on the wing
Doorway to door
Open your eyes
Nothing remains
A secret love between us

Nothing can hide for long
We are the morning song
Holding my breath anyway

We'll all be right
We'll all be right
We'll all be right in the now
We all go through
We all go through
We all go through it sometimes

We'll all be right
We'll all be right
We'll all be right in the now
We all go through
We all go through
We all go through it sometimes
Through it sometimes
(We all go through)
Through it sometime
(We all go through)
(We all go through)
(We all go through)"
New Angels of Promise,"New angels of promise (do do do do)
We despair
We are the dead dreams (oh ho ho ho)
We take the blame
Take us to the edge of time
Take us to the edge of time
We are the fabulous lovers
I'm a blind man and she's my eyes

Suspicious minds
You didn't feel us coming
In this lonely crowd, it's always time
Suspicious minds
You didn't feel us coming
In this lonely crowd, it's always time

New angels of promise (do do do do) we despise
(Do do do do) Don't fall apart now
(Ah ho ho ho) We are the silent ones
Take us to the edge of time
Take us to the edge of time
We are the tabular lovers
We listen to the storm

Suspicious nights
You didn't feel us coming in this lonely crowd, it's always time
Suspicious minds
You didn't feel us coming
In this lonely crowd, it's always time

New angels of promise, we despair
We are the dead dreams (ah ho ho ho)
We take the blame
Take us to the egde of time
Take us to the edge of time
We are the fabulous lovers
I am a blind man and she is my eyes

Suspicious mind
You didn't feel us coming in this lonely crowd, it's always time
Supicious minds
You didn't feel us coming in this lonely crowd, it's always time
Supicious minds
You didn't feel us coming in this lonely crowd, it's always time
It's always time
It's always time
It's always time"
We Shall Go to Town,"No more delight or croning around
Whisper the word hold my hand
Nowhere forget I shall refuse you
Never forget who you've been
And you will fight with demons
And we shall go to town
And we'll read between the riches
And we'll dream if we don't go down

Follow the paths stay on the wrong side
Only when you is swollen with tears
Don't bring your things just like you serve you
Only fool turns around
And you will fight with demons
And we shall go to town
And you will wear you're best shoes
And we'll dance if we don't go down
And we'll dance if we don't go down"
No One Calls,"Nobody calls
Fall into pieces
Don't be afraid
Life isn't easy

Sunshine to rain
Counting the windows

But nobody calls

Nobody calls

Sunshine to rain
Smile for the camera

But nobody phones
Nobody phones
Anyone
At all

Not at all (x3)

Nobody phones
Anyone
At all (x4)

Not at all (x2)"
Survive,"Oh my, naked eyes
I should have kept you
I should have tried
I should have been a wiser kind of guy
I miss you

Give me wings
Give me space
Give me money for a change of face
Those noisy rooms and passion pants
I love you

Where's the morning in my life?
Where's the sense in staying right?
Who said 'time is on my side'?
I've got ears and eyes and nothing in my life
But I'll survive your naked eyes
I'll survive

You alone across the floor
You and me and nothing more
You're the great mistake I never made
I never lied to you, I hated when you lied
But I'll survive your naked eyes
I'll survive

Beatle boys, all snowy white
Razzle dazzle clubs, every night
Wish I'd sent a Valentine
I love You

I'll survive
Naked eyes
I'll survive
I'll survive
My naked eyes
I'll survive
I'll survive
Naked eyes
I'll survive
I'll survive
I'll Survive"
Something in the Air,"Your coat and hat are gone
I really can't look at your little empty shelf
A ragged teddy bear
It feels like we never had a chance
Don't look me in the eye

We lay in each other's arms
But the room is just an empty space
I guess we've lived it out
Something in the air
We smiled too fast then can't think of a thing to say

Lived with the best times
Left with the worst
I've danced with you too long
Nothing left to save
Let's take what we can
I know you'll hold your head up high
We've raged for the last time
A place of no return

And there's something in the air
Something in my eye
I've danced with you too long
Yea
Something in the air
Something in my eye

Abracadoo, I lose you
We can't avoid the clash, the big mistake
Now we're gonna pay and pay
The sentence of our lives
Can't believe I'm asking you to go

We used what we could
To get the things we want
But we lost each other on the way
I guess you know I never wanted anyone more than you

Lived all our best times
Left with the worst
I've danced with you too long
Say what you will
There's something in the air
Raged for the last time
But I know you'll hold your head up high
There's nothing we have to say
There's nothing in our eyes

But there's something in the air
Something in my eye
I've danced with you too long
There's something I have to say
There's something in the air
Something in my eye
Doo-doo-doo doo doo
Doo-doo-doo doo doo
I've danced with you too long
Doo-doo-doo doo doo
Doo-doo-doo doo doo
Danced with you too long
Doo doo
Danced with you too long
Something in the air
Something in the air
Doo-doo doo doo
Doo-doo doo doo"
If I'm Dreaming My Life,"Was she never there
Was she ever
Was it air she breathed
At the wrong time
Oh ho
Oh ho
Oh ho
Oh ho

All the flowers so
From the gallery
With the hymns of night
Singing come to me
At the wrong time
On the wrong day
All the lights are fading now
If I'm dreaming all my life

Just one living chance
When the mother sighs
When the father steps aside
At the wrong time
Oh ho
Oh ho

Was she never here
Was she ever
Was it air she breathed
At the wrong time
On the wrong day
All the lights are fading now
If I'm dreaming all my life
If I'm dreaming all my life

Was she ever
Was she ever here
If I'm dreaming all my life
If I'm dreaming all my life away

Dreaming my life
Dreaming my
Dreaming my
Dreaming my
Dreaming my life
Dreaming my life, away (oh ho)
Dreaming my life
Dreaming my
Dreaming my life, away (oh ho)
Dreaming my life
Dreaming my
Dreaming my life, away (oh ho)
Dreaming my life
Dreaming my
Dreaming my life, away (oh ho)
Ho ho ho ho ho ho ho ho ho ho ho
Ho ho ho ho ho ho ho ho ho ho ho
Ho ho ho ho ho ho ho ho ho ho ho
Ho ho ho ho ho ho ho ho ho ho ho"
The Dreamers,"Black eyed ravens
They spiral down
They tilt his head back
To the flame filled sunset
Raise their guns high
As the darken falls
These are the days boys

Shallow man
Shallow man (shallow man) and they
Eats in the doorways with his head inclined
And he's always in decline
No one hears anymore
So he shrinks as they ride
Under vermilion skies

So it goes (so it goes)
Just a searcher (so it goes)
Lonely soul (so it goes)
The last of the dreamers (so it goes)

Shallow man
Shallow man
Speaks to the shadows
Moves his trembling hands
And he's always a little late
For the dawning of the day

So it goes (so it goes)
Just a searcher (so it goes)
Lonely soul (so it goes)
The last of the dreamers (so it goes)

(So it goes) Just a searcher
(So it goes) Lonely soul
(So it goes) The last of the dreamers (so it goes)

(So it goes) Just a searcher
(So it goes) Lonely soul
(So it goes) The last of the dreamers (so it goes)

(So it goes)
(So it goes)
(So it goes)
(So it goes)"
The Pretty Things Are Going to Hell,"What to wear, what to say
What to do on a sunny day
Who to phone, who to fight
Who to dance with on a Sunday night?

Reaching the very edge you know
Reaching the very edge
I'm going to the other side of this town
Reaching the very edge

You're still breathing but you don't know why
Life's a bit and sometimes you die
You're still breathing but you just can't tell
Don't hold your breath
But the pretty things are going to hell

Well, I am a drug, I am a dragon
I am your best jazz you've ever seen
I am the dragon, I am the sky
I am the blood at the corner of your eye

I found the secrets, I found gold
I found you out before you grow old
I found you out before you grow old

What is eternal, what is damned
What is clay and what is sand?
Who to dis, who to trust
Who to listen to and who to suss?

I'm reaching the very edge you know
I'm reaching the very edge
I'm going to the other side of this town
I'm reaching the very edge

You're still breathing but you don't know why
Life's a bit and sometimes you die
You're still breathing but you just can't tell
Don't hold your breath
But the pretty things are going to hell

I am a dragon, I am a drug
I am your best jazz you've ever had
I am the dragon, I am the sky
I am the blood at the corner of your eye

I found the secrets, I found gold
I found you out before you grow old
I found you out before you grow old

The pretty things are going to hell
They wore it out
But they wore it well

The pretty things are going to hell
They wore it out
But they wore it well

The pretty things are going to hell
They wore it out
But they wore it well

The pretty things are going to hell
They wore it out
But they wore it well

You're still breathing but you don't know why, we got
You're still breathing but you just can't tell
Don't hold your breath but the pretty things are going to hell"
A Better Future,"Please don't tear this world asunder
Please take back this fear we're under
I demand a better future
Or I might just stop wanting you
I might just stop wanting you

Please make sure we get tomorrow
All this pain, all this sorrow
I demand a better future
Or I might just stop needing you
I might just stop needing you

Give my children sunny smiles
Give them warm and cloudless skies
I demand a better future
Or I might just stop loving you
I might just stop loving you, loving you

When you talk
We talk too
When you walk
We walk too

From factory to field
How many tears must fall
Down here below
Nothing is moving

I might just stop wanting you
I might just stop needing you
I might just stop loving you

I demand a better future
I demand a better future
I demand a better future
For I might just stop loving you
Loving you, loving you

I demand a better future
I demand a better future
I demand a better future
Or I might just stop loving you
Loving you, loving you

I demand a better future"
Sunday,"Nothing remains
We could run when the rain slows
Look for the cars or signs of life
Where the heat goes
Look for the drifters
We should crawl under the bracken
Look for the shafts of light on the road
Where the heat goes

Everything has changed
For in truth, it's the beginning of nothing
And nothing has changed
Everything has changed
For in truth, it's the beginning of an end
And nothing has changed
Everything has changed

(First voice)
In your fear
Of what we have become
Take to the fire
Now we must burn
All that we are
Rise together
Through these clouds
As on wings

(2nd voice)
In your fear, seek only peace
In you fear, seek only love
In your fear, seek only peace
In you fear, seek only love
In your fear, in your fear
As on wings

Oh
Woo

This is the trip
And this the business we take
This is our number
All my trials, Lord
Will be remembered
Everything has changed"
Afraid,"I wish I was smarter
I got so lost on the shore
I wish I was taller
Things really matter to me

But I put my face in tomorrow
I believe we're not alone
I believe in Beatles
I believe my little soul has grown

And I'm still so afraid
Yes, I'm still so afraid
Yeah, I'm still so afraid on my own
On my own

What made my life so wonderful?
What made me feel so bad?
I used to wake up the ocean
I used to walk on clouds

If I put faith in medication
If I can smile a crooked smile
If I can talk on television
If I can walk an empty mile

Then I won't feel afraid
No, I won't feel afraid
I won't be, be afraid
Anymore
Anymore
Anymore"
Shadow Man,"There's a man back a-ways
Who believes at where he is
And there's a girl
Almudena Jane
Up ahead who says she knows

And the street overflows
With the folk who understand
But for the brigader who can't be seen
He's the Shadow Man
And the Shadow Man is close at hand

Take a turn and see his smile
Made of nothing but loneliness
Just take a walk and be a friend
To the Shadow Man

You can call him John, you can call him Sam
You should call and see who answers
For he promises to come running, guided by the truth
But the Shadow Man is really you

Look in his eyes and see your reflection
Look to the stars and see his eyes
He'll show you tomorrow, he'll show you the sorrows
Of what you did today

You can call him foe, you can call him friend
You should call and see who answers
For he knows your eyes are drawn to the road ahead
And the Shadow Man is waiting round the bend
Oh, the Shadow Man
Ohooooo ooh
Shadow man, shadow man
It's really you, it's really you, it's really you
He's the shadow man
Oh yeah
Shadow man"
5:15 The Angels Have Gone,"5:15
I'm changing trains - this little town - let me down
This foreign rain brings me down
5:15
Train overdue
Angels have gone
No ticket
I'm jumping tracks
I'm changing time
We never talk anymore
Forever I will adore only you

5:15
All of my life, Angels have gone
I'm changing trains
Angels like them thin on the ground
All of my life
All legs and wings
Swings turn the eyes

5:15
Train overdue
Angels have gone
We never talk anymore
Forever I will adore only you
Cold station all of my life
Forever I fear"
Safe,"Frozen to the glass again
Out of our skins again
Cold I am, tonight I am
Tomorrow's really on my mind

Sure to think of, from now on
The things will move more slowly
But thin is thin and chances slim
And sometimes we all have those dreams

Safe in this skyline
Safe, whoa, whoa, whoa, whoa, whoa, whoa
Safe in this skyline
Safe, whoa, whoa, whoa, whoa, whoa, whoa

In this skyline

The past it almost shimmers now
All we needed, all we wished for
But here I am and safe am I
Trusting in the lament sky

Safe in this skyline
Safe, whoa, whoa, whoa, whoa, whoa, whoa
Safe in this skyline
Safe, whoa, whoa, whoa, whoa, whoa, whoa

In this skyline

Skyline
Skyline
Skyline

Are things getting better now?
Are things getting worse?
But I'm standing in the sunshine
And it lifts my heart and feeds my mind

Safe in this skyline
Safe, whoa, whoa, whoa, whoa, whoa, whoa
Safe in this skyline
Safe, whoa, whoa, whoa, whoa, whoa, whoa

In this skyline

Skyline
Skyline
Skyline

Skyline
Skyline
Skyline"
Wood Jackson,"Wood jackson
- CD single: Slow Burn
- CD single: Everyone Says 'Hi' (part 1)

Jackson made twenty tapes in a day
To give away
A give away

And he play
The tunes they'd call creative when they're running out of names
Heaven knows he's really torn it now
But the names it hurt poor jackson stopped the haters in his way
Heaven knows he's for it

Sha-a-a-me!
Hey hey
He was never quite unsure but really sane
Wants to play

Jackson stole twenty souls in a day
To take away
A take away
He takes away
And no complaints
Heart's upon his sleeve and his blade
Wood jackson took the beating every day, given out, passed away, another way
Hey hey
Just wants to play
And how he played
The mob they bleed and tremble when they're running after life
Heaven knows he's really torn it now
The words that killed Wood jackson's friends were written on the wall
Heaven knows he's for it

Shame!
Just wants to play
It's a shame
Shame
It's a shame
Wants to play
It's a shame
It's a shame
Just wants to play"
Slow Burn,"Here shall we live in this terrible town
Where the price for our eyes shall squeeze them tight like a fist
And the walls shall have eyes
And the doors shall have ears
But we'll dance in the dark
And they'll play with our lives

Like a Slow Burn
Leading us on and on and on
Like a Slow Burn
Turning us round and round and round

But who are we
So small in times such as these
Slow Burn
Slow Burn

Oh, these are the days
These are the strangest of all
These are the nights
These are the darkest to fall

But who knows?
Echoes in tenement halls
Who knows?
Though the years snare them all

Like a Slow Burn
Leading us on and on and on
Like a Slow Burn
Twirling us round and round and upside down

There's fear overhead
There's fear overground
Slow Burn
Slow Burn

Like a Slow Burn
Leading us on and on and on
Like a Slow Burn
Turning us round and round and round

And here are we
At the center of it all
Slow Burn
Slow Burn
Slow Burn"
Heathen (The Rays),"Steel on the skyline
Sky made of glass
Made for a real world
All things must pass

Waiting for something
Looking for someone
Is there no reason?
Have I stared too long?

You say you'll leave me

And when the sun is low
And the rays high
I can see it now
I can feel it die"
Slip Away,"Oogie waits for just another day
Drags his bones to see the Yankees play
Bones Boy talks and flickers grey
Oh, they slip away

Once a time they nearly might have been
Bones and Oogie on a silver screen
No one knew what they could do
Except for me and you
They slip away
They slip away

Don't forget to keep your head warm
Twinkle twinkle Uncle Floyd
Watching all the world in war torn
How I wonder where you are
Oh-ooh
Sailing over Coney Island
Twinkle twinkle Uncle Floyd
We were dumb but you were fun, boy
How I wonder where you are

Oogie knew there's never ever time
Some of us will always stay behind
Down in space it's always 1982
The joke we always knew
What'sa matter with you

C'mon, let's go
Slip away

Don't forget to keep your head warm
Twinkle twinkle Uncle Floyd
Watching all the world inwar torn
How I wonder where you are
Oh-ooh
Sailing over Coney Island
Twinkle twinkle Uncle Floyd
We were dumb but you were fun, boy
How I wonder where you are"
When the Boys Come Marching Home,"How to make amends for the things they said
The girls avoid the stormy sky
But I and my cloudy face
Will be gone, high-tailing out of here
Is the lights a-blazing in their lonely town?
I love the little cars at dawn
But I and my heathen heart
Will be lain upon some foreign shore
Here's the saddest Joe on the corner of the town
""Listen to the words!"" he cries
I love him in his craziness, his tatters and his courage
He'll thumb his nose at the straight and true

When the boys come marching home
They'll fly his rags from the highest tree
When the boys come marching home
(When the boys come marching home)
(Home, marching home)

Aching for some innocence and peace of mind
While the moon pulls up its net of souls
The sun presses down on my brave new world
But, in truth, I don't feel brave at all
Leave it all behind me to the townies and the wags
The kids who never learned to smile
While I and the cobbled nag I ride
Stumble down another weary mile
Here's to those who cluster,
Walking through the wars
The girls who never close till dawn
They rag upon the feeble
And they swan around the stronger
But their eyes are fixed on the edge of town
When the boys come marching home
They'll slide from view - tiny, two by two

When the boys come marching home
(Home, marching home)
(Home, marching home)
When the boys come marching home
(When the boys come marching home)
Boys come marching home
(Home, marching home)
(Home, when the boys come marching home)
(Home, marching home)
(Home)
(When the boys come marching home)"
Everyone Says Hi,"Said you'd took a big trip, they said you moved away
Happened oh so quietly, they say
Should've took a picture, something I could keep
Buy a little frame, something cheap
For you

Everyone says ""Hi""

Said you sailed a big ship, said you sailed away
Didn't know the right thing to say
I'd love to get a letter, like to know what's what
Hope the weather's good and it's not too hot
For you

Everyone says ""Hi""
Everyone says ""Hi""
Everyone says don't stay in a sad place
Where they don't care how you are
Everyone says ""Hi""

If the money is lousy
You can always come home
We can do all the old things (doo wap wap wha ooh)
We can do all the bad things (doo wap wap)

If the food gets you leery
You can always phone
We could do all the old things (doo wap wap wha ooh)
We could do it, we could do it, we could do it (doo wap wap ooh)

Don't stay in a bad place
Where they don't care how you are
Everyone says ""Hi""
Everyone says ""Hi""

Everyone says ""Hi"" (everyone says ""Hi"")
And the girl next door (everyone says ""Hi"")
And the guy upstairs (everyone says ""Hi"")
Everyone says ""Hi"" (everyone says ""Hi"")
And your mum and dad (everyone says ""Hi"")
Everyone says ""Hi"" (everyone says ""Hi"")
And your big fat dog (everyone says ""Hi"")
Everyone says ""Hi"" (everyone says ""Hi"")"
I Would Be Your Slave,"Walking in the snowy street
Let me understand
Drifting down a silent path
Stumbling over land
Open up your heart to me
Show me who you are
And I would be your slave

Do you sleep in quietude
Do you walk in peace
Do you laugh out loud at me
No one else is free
Open up your heart to me
Show me all you are
And I would be your slave

I don't sit and wait
I don't give a damn
I don't see the point at all
No footprints in the sand

I bet you laugh out loud at me
A chance to strike me down
Give me peace of mind at last
Show me all you are
Open up your heart to me
I would be your slave

I don't sit and wait
I don't give a damn
I don't see the point at all
No footprints in the sand

I would give you all my love
Nothing else is free
Open up your heart to me
And I would be your slave"
Looking for Water,"- Album: Reality
- Lyrics and music by David Bowie 

Still the leaves are spinning 'round
Take my hand as we go down, and down, and down
Looking for water 
Well, our light's gone in a New York minute
Don't know about you, but my heart's not in it
(Looking, looking, looking)
I'm looking for water
I'm looking for water
(Looking, looking, looking)

I can't breathe the air, can't raise a fact
'Cause all we've got left is a beat in the night, and I'm
(Looking for water)
Looking for water
(Looking for water)
(Looking, looking)

Take my hand as we go down, and down
Leave it all behind, nothing could be found
(I'm, looking for water)
I'm looking for water
(Looking for water)
(Looking, looking)
(I, looking for water)
Looking everywhere
(Looking for water)
Looking here and there
(I'm looking for water)
I'm looking for water
(Looking for water)
(Looking, looking)
I can't live in this cage, I can't eat this candy
The edge of the earth to the spin in my head
The look in your eyes and never means never
The dawn's early light, baby, dark is forever

(Looking, looking)
(Looking, looking)

(Looking for water)
(Looking, looking)
I
(Looking for water)
(Looking for water)
(Looking, looking)
I
(Looking for water)
(Looking for water)
(Looking, looking)
I
(Looking for water)
(Looking for watter)
Looking, looking)
I
(Looking for water)
(Looking for watter)
Looking, looking)
I
(Looking for water)
(Looking for watter)"
Queen of All the Tarts (Overture),"Queen of
Queen of all the tarts
Queen of
Queen of all the tarts

Queen of
Queen of all the tarts
Queen of
Queen of all the tarts

Queen of
Queen of
Queen of

Queen of"
Reality,"- Album: Reality
- Lyrics and music by David Bowie 

Tragic youth was looking young and sexy
The tragic youth was wearing tattered black jeans
Bearing arms and flaunting all her mischief
The tragic youth was going down on me

And I swear
Woo hoo
Yes I swear

I built a wall of sound to separate us
And hid among the junk of wretched highs
I sped from Planet X to Planet Alpha
Struggling for reality

Ha ha ha ha
Woo hoo
Ha ha ha ha
Whoo hoo

Hey, now my sight is failing in this twilight
Da da da da da da da da da
Now my death is more than just a sad song
Da da da da da da da da da
And I swear
Woo hoo
Yes I swear
Woo hoo

I still don't remember how this happened
I still don't get the wherefores and the whys
I look for sense but I get next to nothing
Hey boy welcome to reality

Ha ha ha ha
Woo hoo

I've been right and I've been wrong
Now I'm back where I started from
Never looked over reality's shoulder

Ha ha ha ha
Huh ha ha ha
Woo hoo

Huh ha ha
Wooh
Woo hoo
Wooh"
Fly,"The television's on 
And I'm walking through the yard 
The house is fast asleep 
And I'm crying in my car 
Dying for the weekend
The kids are alright 
But they don't smile much 
They sit up in their garage 
With their decks and their stuff 
Dying for the weekend
The boy's on a charge 
But his mother doesn't know 
He never got around 
Yet to telling her son 
It would only make her crazy
And I'll be fine 
I'm only sleeping in my head 
And I can fly 
I close my eyes and I can fly

The television's on 
And I'm walking through the yard 
The house is fast asleep 
And I'm crying in my car 
Dying for the weekend
The kids have got a gig 
In an all night rave 
They're lookin' pretty tough 
But I still want to say 
Do you really have to go?
Down in the back street 
A skinny kid cries 
Bad drive Saturday 
Another life flies 
Dying for the weekend
And I'll be fine 
I'm only sleeping in my head 
And I can fly 
I close my eyes and I can fly
And I can fly 
And fall toward the end
And I can fly
And I'll be fine 
I'm only sleeping in my head 
And I can fly 
I close my eyes and I can fly"
Never Get Old,"Better take care
I think I better go, better get a room
Better take care of me
Again and again
I think about this and I think about personal history

Better take care
I breath so deep when the movie gets real
When the star turns round
Again and again
Looks me in the eye, says he's got his mind on a countdown (3, 2, 1)

Forever
I'm screaming that I'm gonna be living on till the end of time
Forever
The sky splits open to a dull red skull
My head hangs low 'cause it's all over now

And there's never gonna be enough money
And there's never gonna be enough drugs
And I'm never ever gonna get old

There's never gonna be enough bullets
There's never gonna be enough sex
And I'm never ever gonna get old

So I'm never ever gonna get high
And I'm never ever gonna get low
And I'm never ever gonna get old

Better take care
The moon flows on to the edges of the world because of you
Again and again
And I'm awake in an age of light and living it because of you

Better take care
I'm looking to the future, solid as a rock
Because of you
Again and again
Wanna be here, then I wanna be there
Living just like you, living just like me

Forever
Putting on my gloves
And I bury my bones in the marshland

Forever
Think about my soul
But I don't need a thing
Just the ring of the bell in the pure clean air

And I'm running down the street of life
And I'm never gonna let you die
And I'm never ever gonna get old

And I'm never ever gonna get...
I'm never ever gonna get...

And I'm never ever gonna get old
And I'm never ever gonna get...
And I'm never ever gonna get...

I'm never ever gonna get old"
The Loneliest Guy,"- Album: Reality
- Lyrics and music by David Bowie

Streets turn from walls
Empty smell metal
Weeds between buildings
Pictures on my hard drive
But I'm the luckiest guy
Not the loneliest guy 
Steam on the floor
Shots by the mirror's frame
Clouds green and old
No Sign No nothing Now
But I'm the luckiest guy
Not the loneliest guy

All the pages that have turned
All the errors left unlearned, oh
But I'm the luckiest guy
Not the loneliest guy
In the world
Not me
Not me"
Fall Dog Bombs the Moon,"- Album: Reality
- Lyrics and music by David Bowie 

Hope little girl
Come blow me away
I don't care much
I'll win anyway
Just a dog

I'm God damn rich
An exploding man
When I talk in the night
There's oil on my hands
What a dog

Fall dog is cruel and smart
Smart time breaks the heart
Fall dog bombs the moon

Devil in a market place
Devil in your bleeding face
Fall dog bombs the moon
What a dog

There's always a moron
Someone to hate
A corporate tie
A wig and a date
Just a dog

These blackest of years
That have no sound
No shape, no depth
No underground
What a dog

Fall dog is cruel and smart
Smart time breaks the heart
Fall dog bombs the moon

A devil in a market place
A devil in your bleeding face
Fall dog bombs the moon
What a dog"
New Killer Star,"See the great white scar
Over Battery park
Then a flare glides over
But I won't look at that scar

Oh, my nuclear baby
Oh, my idiot trance
All my idiot questions
Let's face the music and dance

Don't ever say I'm ready, I'm ready, I'm ready
I never said I'm better, I'm better, I'm better
Don't ever say I'm ready, I'm ready, I'm ready
I never said I'm better, I'm better, I'm better, I'm better than you

All the corners of the buildings
Who but we remember these?
The sidewalks and trees
I'm thinking now

(I got a better way) I discovered a star
(I got a better way) Ready set go
(I got a better way) A new killer star
(I got a better way) Ready set go
(I got a better way) The stars in your eyes
(I got a better way) Ready set go
(I got a better way) I discovered a star
(I got a better way) Ready set go

See my life in a comic
Like the way they did the bible
With the bubbles and action
The little details in color

First a horseback bomber
Just a small thin chance
Like seeing Jesus on dateline
Let's face the music and dance

Don't ever say I'm ready, I'm ready, I'm ready
I never said I'm better, I'm better, I'm better
Don't ever say I'm ready, I'm ready, I'm ready
I never said I'm better, I'm better, I'm better, I'm better than you

All the corners of the buildings
Who but we remember these?
The sidewalks and trees
I'm thinking now

(I got a better way) I discovered a star
(I got a better way) Ready set go
(I got a better way) A new killer star
(I got a better way) Ready set go
(I got a better way) The stars in your eyes
(I got a better way) Ready set go
(I got a better way) I discovered a star
(I got a better way) Ready set go
(I got a better way)
(I got a better way) Ready set go
(I got a better way)
(I got a better way) Ready set go
(I got a better way) Ready set go
(I got a better way)"
Days,"- Album: Reality
- Lyrics and music by David Bowie

Hold me tight
Keep me cool
Going mad
Don't know what to do

Do I need a friend?
Well I need one now

All the days of my life
All the days of my life
All the days I owe you

All I've done
I've done for me
All you gave
You gave for free
I gave nothing in return
And there's little left of me

All the days of my life
All the days of my life
All the days I owe you

With redeyed pain I'm knocking on your door again
My crazy brain in tangles pleading for your gentle voice
Those storms keep pounding through my faded heart
I'll play your sooth my sorry soul

All the days of my life
(All the days of my life)
All the days of my life
(All the days of my life)
All the days I owe you

All the days of my life
(All the days of my life)
All the days of my life
(All the days of my life)
All the days I owe you

All the days of my life
(All the days of my life)
All the days of my life
(All the days of my life)
All the days I owe you

All the days of my life"
Bring Me the Disco King,"You promised me the ending would be clear
You'd let me know when the time was now
Don't let me know when you're opening the door
Stab me in the dark, let me disappear
Memories that flutter like bats out of Hell
Stab you from the city spires
Life wasn't worth the balance
Or the crumpled paper it was written on

Don't let me know we're invisible
Don't let me know we're invisible
Hot cash days that you trailed around
Cold cold nights under chrome and glass
Led me down a river of perfumed limbs
Sent me to the street with the good time girl

Don't let me know we're invisible
Don't let me know we're invisible
We could dance, dance, dance through the fire
Dance, dance, dance through the fire

Feed me no lies
I don't know about you, I don't know about you
Breathe through the years
I don't know about you, I don't know about you
Bring me the Disco King
I don't know about you, I don't know about you
Dead or alive
Feed me no lies
Bring me the Disco King, bring me the Disco King
Bring me the Disco King, bring me the head of the Disco King

Spin-offs with those who slept like corpses
Damp morning rays in the stiff bad clubs
Killing time in the 70's
Smelling of love through the moist wind
Don't let me know when you're opening the door
Close me in the dark, let me disappear
Soon there'll be nothing left of me
Nothing left to release

Dance, dance, dance through the fire
Dance, dance, dance through the fire
Tell me no lies
I don't know about you, I don't know about you
Breathe through the years
I don't know about you, I don't know about you
Bring me the Disco King
I don't know about you, I don't know about you
Breathe through the years
Dead or alive
Bring me the Disco King, bring me the Disco King
Bring me the Disco King, bring me the Disco King
Bring me the Disco King, bring me the Disco King
Bring me the Disco King, bring me the Disco King"
Sister Midnight,"Calling sister midnight
You've got me reaching for the moon
Calling sister midnight
You've got me playing the fool
Calling sister midnight

Calling sister midnight
Can you hear me call?
Can you hear me well?
Can you hear me at all?

Calling sister midnight
Well, I'm an idiot for you
Calling sister midnight
I'm a breakage inside
Calling sister midnight

Calling sister midnight

You know, I had a dream last night
Mother was in my bed
And I made love to her

Father he gunned for me
Hunted me with his six gun
Calling sister midnight
What can I do about my dreams?

Listen to me, sister midnight
You've got me walking in rags
Listen to me, sister midnight
You put a beggar in my heart

Hey, where are you sister midnight?
Can you hear me call?
Can you hear me well?
Can you hear me at all?"
